loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,1171.1507562905317,j,21.693986157653853,0,1192.877592301811,1193.8904519318603,1,1193.8904519318603,X,l,go,l,1,0.3759271602611989,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1194.972686558729,1195.9736063157907,1,1195.9736063157907,Y,d,go,None,0,,1196.7738507762551,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1197.3745113335317,1198.3752754543675,1,1198.3752754543675,X,l,go,None,0,,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1199.7764030174585,1200.7768980475375,1,1200.7768980475375,Y,d,go,l,0,0.2881672027288005,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1201.777878410765,1202.7785814406816,1,1202.7785814406816,Y,None,nogo,d,0,0.4306747700320557,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1204.3298122037668,1205.3306475972058,1,1205.3306475972058,X,l,go,l,1,0.326200638897717,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1206.3645413989434,1207.36527885322,1,1207.36527885322,Y,d,go,d,1,0.5315973878605291,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1208.5998314666795,1209.6002358301776,1,1209.6002358301776,Y,None,nogo,d,0,0.45688372710719705,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1211.1678937367396,1212.1689051302383,1,1212.1689051302383,X,l,go,None,0,,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1213.5697980266996,1214.5704947536578,1,1214.5704947536578,Y,d,go,d,1,0.2866699914447963,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,1215.5715779046295,1216.5722974194214,1,1216.5722974194214,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,1217.973045831197,1218.9741100731771,1,1218.9741100731771,X,l,go,l,1,0.266798970871605,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,1219.9415214828914,1220.942274937057,1,1220.942274937057,Y,d,go,d,1,0.33185348473489285,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,1221.9764038901776,1222.9768790415255,1,1222.9768790415255,Y,None,nogo,l,0,0.2798651462653652,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,1224.3615852792282,1225.3623382485239,1,1225.3623382485239,X,l,go,None,0,,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,1244.660429740441,1244.8606056433637,0.2,1244.8606056433637,X,l,go,l,1,0.5560235579032451,,1226.7730958675966,j,17.86391043884214,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,1246.1278564227978,1246.328352325596,0.2,1246.328352325596,Y,d,go,d,1,0.32100742927286774,,,,,,,,,,,,,,,,,45,001, 20,w,Psychologie,2023-01-18_13h30.28.497,00_bat_bachelor,2022.2.4,59.96357121786363,
