loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,stimulus.stopped,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5,0,5,0,247,0,247,0,,,,,,,247,,,0.2,2693.5528933589812,Y,d,go,d,1,0.425758344354108,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,5,0,5,0,248,0,248,0,,,,,,,248,,,0.2,2694.286803048133,X,l,go,l,1,0.2835701541916933,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,5,0,5,0,249,0,249,0,,,,,,,249,,,0.2,2694.8703490280313,Y,d,go,None,0,,,,,2695.6715237195313,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,0,0,0,0,,,,,,,0,,,1,2716.803643056308,X,l,go,l,1,0.3742101981770247,,,,,,,,,2695.6715237195313,space,20.10272061196156,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,1,0,1,0,,,,,,,1,,,1,2718.288394806499,Y,d,go,d,1,0.2659856608370319,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,2,0,2,0,,,,,,,2,,,1,2719.656122984772,X,l,go,l,1,0.258807960402919,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,3,0,3,0,,,,,,,3,,,1,2721.023456011375,Y,d,go,d,1,0.26630372161162086,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,4,0,4,0,,,,,,,4,,,1,2722.391513886774,X,l,go,l,1,0.29121137005859055,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,5,0,5,0,,,,,,,5,,,1,2723.7922811114113,Y,d,go,d,1,0.37805892727919854,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,6,0,6,0,,,,,,,6,,,1,2725.2774081344833,X,l,go,l,1,0.41306936848559417,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
