loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,3,0,3,0,240,0,240,0,,,,,,,240,,,0.2,1698.1155112167216,X,l,go,None,0,1698.916043677069,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,3,0,3,0,241,0,241,0,,,,,,,241,,,0.2,1699.1162607921142,Y,d,go,d,1,,0.3177113219499006,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,3,0,3,0,242,0,242,0,,,,,,,242,,,0.2,1699.6665640404535,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,3,0,3,0,243,0,243,0,,,,,,,243,,,0.2,1700.6673892521758,X,l,go,None,0,,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,3,0,3,0,244,0,244,0,,,,,,,244,,,0.2,1701.667903191319,Y,d,go,d,1,,0.4385539300274104,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,3,0,3,0,245,0,245,0,,,,,,,245,,,0.2,1702.335353049526,Y,None,nogo,None,1,1703.135876297758,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,3,0,3,0,246,0,246,0,,,,,,,246,,,0.2,1703.3360672309973,X,l,go,l,1,,0.3866940763837192,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,3,0,3,0,247,0,247,0,,,,,,,247,,,0.2,1703.9531025681936,Y,d,go,d,1,,0.4259653300723585,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,3,0,3,0,248,0,248,0,,,,,,,248,,,0.2,1704.6036646770117,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,3,0,3,0,249,0,249,0,,,,,,,249,,,0.2,1705.6044089190727,X,l,go,l,1,,0.582296405787929,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,0,0,0,0,,,,,,,0,,,1,1726.7212146806232,X,l,go,None,0,1727.5220511408224,,,,,,,,,1706.206433354455,space,19.48407439280345,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,1,0,1,0,,,,,,,1,,,1,1728.5225825345042,Y,d,go,d,1,,0.36805263087444473,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,2,0,2,0,,,,,,,2,,,1,1729.9234797946774,X,l,go,l,1,,0.3113942341042275,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,3,0,3,0,,,,,,,3,,,1,1731.2580939354702,Y,d,go,d,1,,0.40029406979010673,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,4,0,4,0,,,,,,,4,,,1,1732.6757761572007,X,l,go,l,1,,0.3916458315579803,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,5,0,5,0,,,,,,,5,,,1,1734.0933463789843,Y,d,go,d,1,,0.3331644053650962,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,6,0,6,0,,,,,,,6,,,1,1735.4445835420192,X,l,go,l,1,,0.3413830680474348,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,7,0,7,0,,,,,,,7,,,1,1736.8121940304518,Y,d,go,None,0,1737.6127104908082,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,8,0,8,0,,,,,,,8,,,1,1738.6136889145746,Y,None,nogo,l,0,,0.3413709468404704,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,9,0,9,0,,,,,,,9,,,1,1739.9978235162052,X,l,go,l,1,,0.5249543729842117,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,10,0,10,0,,,,,,,10,,,1,1741.5658896650239,Y,d,go,d,1,,0.3647183294633578,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,11,0,11,0,,,,,,,11,,,1,1742.9503268119624,Y,None,nogo,None,1,1743.7510629085737,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,12,0,12,0,,,,,,,12,,,1,1744.7516195143653,X,l,go,l,1,,0.3786441408919927,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,13,0,13,0,,,,,,,13,,,1,1746.152699562328,Y,d,go,d,1,,0.3220318047024193,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,14,0,14,0,,,,,,,14,,,1,1747.503850422374,Y,None,nogo,None,1,1748.3041263979976,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
