loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,182.53077478788327,j,19.844488909089705,0,202.40185212121287,203.41449163635843,1,203.41449163635843,204.21366739393852,X,l,go,None,0,,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,204.81408630302758,205.81491587878554,1,205.81491587878554,,Y,d,go,l,0,0.4116986060689669,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,206.93245090909477,207.93298521211545,1,207.93298521211545,,X,l,go,d,0,0.4531580000038957,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,209.1007127272751,210.1010385454574,1,210.1010385454574,,Y,d,go,d,1,0.5253916969668353,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,211.3520130909019,212.35278448484314,1,212.35278448484314,,X,l,go,l,1,0.40173642424633726,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,213.4704727272765,214.4712363636354,1,214.4712363636354,,Y,d,go,d,1,0.6513281818188261,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,215.82301915151766,216.8238041212171,1,216.8238041212171,,Y,None,nogo,l,0,0.41075896969414316,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,218.39123927272158,219.39202084847784,1,219.39202084847784,,X,l,go,d,0,0.5951953333278652,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,220.6929823030223,221.69384533332777,1,221.69384533332777,,Y,d,go,d,1,0.628754606063012,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,223.04458230303135,224.04532024242508,1,224.04532024242508,,X,l,go,l,1,0.5656559393828502,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,225.313454060597,226.31409939393052,1,226.31409939393052,227.11476848484017,Y,d,go,None,0,,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,227.71514424242196,228.71595539394184,1,228.71595539394184,229.51658618180954,X,l,go,None,0,,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,230.1169861818198,231.11772169696633,1,231.11772169696633,231.91819199999736,Y,d,go,None,0,,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,232.5186356363556,233.5195907878806,1,233.5195907878806,,X,l,go,l,1,0.4038227272685617,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,234.63712872727774,235.6380029090942,1,235.6380029090942,,X,None,nogo,l,0,0.4130353333312087,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,272.5155384242389,272.7158579393872,0.2,272.7158579393872,,X,l,go,l,1,0.5676258787862025,237.20365769696946,j,35.282795333332615,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,274.00007321212615,274.2004358787817,0.2,274.2004358787817,,Y,d,go,l,0,0.39431533333845437,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,275.3012247272709,275.50087806060037,0.2,275.50087806060037,,X,l,go,d,0,0.5818057575816056,,,,,,,,,,,,,,,,,87,001,30,m,Psychologie,2023-02-01_10h29.41.227,00_bat_bachelor,2022.2.4,59.966331634521545,
