loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,404.52471877589414,j,20.00468736818584,0,424.55757063875353,425.5700845720821,1,425.5700845720821,426.36921630583674,X,d,go,None,0,,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,426.96952437841173,427.9702400144306,1,427.9702400144306,,Y,l,go,l,1,0.4449038820202986,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,429.1212212745595,430.12209254686604,1,430.12209254686604,,X,d,go,d,1,0.5800815134462027,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,431.40626792423427,432.40673240885735,1,432.40673240885735,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,433.8081508808973,434.8096277286677,1,434.8096277286677,,Y,l,go,l,1,0.35526271336129867,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,435.89375132424175,436.8944907178229,1,436.8944907178229,,X,d,go,d,1,0.4309678887766495,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,438.04542640221916,439.04599367467017,1,439.04599367467017,,X,None,nogo,d,0,0.4066551732903463,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,440.61347170255976,441.6143478233462,1,441.6143478233462,,Y,l,go,l,1,0.5608897651800362,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,442.88168781494096,443.8823942388408,1,443.8823942388408,,X,d,go,d,1,0.38774463700610795,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,444.9832795232578,445.98417940161016,1,445.98417940161016,,Y,l,go,l,1,0.5741343648187467,,,,,,,,,,,,,,,,,20,001,20,w,Psychologie,2023-01-16_14h05.22.022,00_bat_bachelor,2022.2.4,59.65589052857752,
