loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,711.2943523421322,j,14.462187578622235,0,725.7944199784631,726.8071816692453,1,726.8071816692453,X,l,go,None,0,,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,728.204624870485,729.2054389306963,1,729.2054389306963,Y,d,go,d,1,0.659814149469895,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,730.5898780170288,731.5903677137611,1,731.5903677137611,X,l,go,l,1,0.5304319091704031,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,732.841439107181,733.8423530461318,1,733.8423530461318,X,None,nogo,None,1,,734.6426319308451,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,735.2432852153769,736.2441913967557,1,736.2441913967557,Y,d,go,d,1,0.27684172909292215,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,737.2447000025697,738.2455712748746,1,738.2455712748746,X,l,go,l,1,0.4996610149986793,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,739.462909836165,740.4634441389362,1,740.4634441389362,X,None,nogo,None,1,,741.2642141749265,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,741.8646783686409,742.8652849138012,1,742.8652849138012,Y,d,go,d,1,0.32750546210459675,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,743.8996194426088,744.9003743513337,1,744.9003743513337,X,l,go,l,1,0.4364644395790549,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,746.0679063913182,747.0684731789221,1,747.0684731789221,X,None,nogo,None,1,,747.8692829724689,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,748.4696991662065,749.4704249840364,1,749.4704249840364,Y,d,go,d,1,0.33111952095831043,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,750.5045859371704,751.5053568458876,1,751.5053568458876,X,l,go,l,1,0.3755539236567813,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,752.5893800778764,753.5903774107261,1,753.5903774107261,X,None,nogo,None,1,,754.3907169014706,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,754.9908518832234,755.9921590341047,1,755.9921590341047,Y,d,go,d,1,0.25773434441785525,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,756.9591520198051,757.9600552920945,1,757.9600552920945,X,l,go,l,1,0.4179301455350526,,,,,,,,,,,,,,,,,,17,001,20,w,Psychologie,2023-01-16_09h01.55.821,00_bat_bachelor,2022.2.4,60.03024067386146,
