loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,1550.7555649723945,j,34.225683056243724,0,1585.007475882412,1586.0223437684072,1,1586.0223437684072,X,d,go,None,0,,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1587.4232874779555,1588.4244302663901,1,1588.4244302663901,Y,l,go,None,0,1589.224838412043,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1589.8251286424857,1590.8258767640618,1,1590.8258767640618,X,d,go,None,0,1591.626851697867,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1592.227038170684,1593.2277596255808,1,1593.2277596255808,X,None,nogo,None,1,1594.0283452258627,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1594.628767335158,1595.6298533962909,1,1595.6298533962909,Y,l,go,None,0,1596.4301926934277,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1597.0308164997878,1598.0313784394566,1,1598.0313784394566,X,d,go,None,0,1598.8321405246752,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1599.4326135430856,1600.433270513102,1,1600.433270513102,Y,l,go,None,0,1601.2337799921333,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1601.8346341016404,1602.8349109502597,1,1602.8349109502597,X,d,go,None,0,,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1604.2358018112973,1605.236648842012,1,1605.236648842012,X,None,nogo,None,1,1606.0371898362137,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1606.6374097635926,1607.6383314610102,1,1607.6383314610102,Y,l,go,None,0,,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,1609.0393842615194,1610.0399234132965,1,1610.0399234132965,X,d,go,None,0,1610.8406374984916,,,,,,,,,,,,,,,,,10,001,21,m,Bsc. Psychologie 100%,2023-01-09_14h07.27.419,00_bat_bachelor,2022.2.4,60.03909456626929,
