loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,stimulus.stopped,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,1008.2052546883933,j,26.481182356830686,0,1034.7174052279443,1035.7326149176806,1,1035.7326149176806,X,d,go,d,1,0.5578625621274114,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1037.0084295717534,1038.0092062987387,1,1038.0092062987387,Y,l,go,l,1,0.337351638590917,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1039.0600785163697,1040.0608048189897,1,1040.0608048189897,X,d,go,d,1,0.3178728602360934,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1041.0949497721158,1042.0956300143152,1,1042.0956300143152,Y,l,go,l,1,0.522213609656319,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1043.3297229916789,1044.330651476048,1,1044.330651476048,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1045.7317494633608,1046.7322866753675,1,1046.7322866753675,X,d,go,d,1,0.2537288914900273,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1047.699764994206,1048.7005974785425,1,1048.7005974785425,Y,l,go,l,1,0.4616972755175084,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1049.8680844276678,1050.869075942319,1,1050.869075942319,Y,None,nogo,l,0,0.32626121980138123,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1052.303449549945,1053.3039959738962,1,1053.3039959738962,X,d,go,None,0,,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1054.70512596122,1055.7059482638724,1,1055.7059482638724,Y,l,go,None,0,,,,,,,,,,,,,,,,,,,64,001,20,w,Psychologie,2023-01-25_09h05.39.438,00_bat_bachelor,2022.2.4,59.96514028821549,
