loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,18311.38730744878,j,27.710211277008057,0,18339.12566442392,18340.14373083948,1,18340.14373083948,X,l,go,None,0,,,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,18341.537486769725,18342.553669065004,1,18342.553669065004,Y,d,go,None,0,,,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,18343.95600147592,18344.956748627126,1,18344.956748627126,X,l,go,l,1,0.6314869516063482,,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,18346.307597426698,18347.30864421418,1,18347.30864421418,Y,d,go,None,0,,18348.10951073491,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,18348.70960498927,18349.710216382984,1,18349.710216382984,Y,None,nogo,d,0,0.34249509195797145,,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,18351.21110680676,18352.211912139785,1,18352.211912139785,X,l,go,l,1,0.4168228132184595,,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,18353.329343355494,18354.3301108703,1,18354.3301108703,Y,d,go,None,0,,18355.13072672463,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,18355.731000857893,18356.732063645264,1,18356.732063645264,Y,None,nogo,l,0,0.4263277784921229,,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,18358.28298265068,18359.283923741197,1,18359.283923741197,X,l,go,None,0,,18360.084634140832,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,18360.68491215282,18361.685704394942,1,18361.685704394942,Y,d,go,d,1,0.33571642846800387,,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,18362.73651358229,18363.737256854773,1,18363.737256854773,Y,None,nogo,None,1,,18364.538030769443,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,18365.138167205732,18366.13907193276,1,18366.13907193276,X,l,go,l,1,0.31370480288751423,,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,18367.156555075664,18368.157285257243,1,18368.157285257243,Y,d,go,d,1,0.3601018711924553,,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,18369.22461855784,18370.225543648237,1,18370.225543648237,Y,None,nogo,None,1,,18371.026179866167,,,,,,,,,,,,,,,,,79,001,23,Weiblich ,Bildungswissenschaften ,2023-01-30_13h52.43.173,00_bat_bachelor,2022.2.4,59.912187008330974,
