loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,1355.083469535286,j,28.626911331091833,0,1383.7309295850027,1384.74539891132,1,1384.74539891132,X,l,go,None,0,,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1386.1466064743727,1387.1474777466756,1,1387.1474777466756,Y,d,go,l,0,0.6385554466578469,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1388.4989132126466,1389.4997932122205,1,1389.4997932122205,X,l,go,d,0,0.36692163896441343,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1390.5837762018054,1391.58470226196,1,1391.58470226196,X,None,nogo,d,0,0.26492071872417,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1392.9853992798053,1393.9859020674412,1,1393.9859020674412,Y,d,go,None,0,,1394.7861775582169,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1395.3867120549257,1396.3875610242103,1,1396.3875610242103,X,l,go,d,0,0.19919808391932747,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1397.2884139207672,1398.2890500416725,1,1398.2890500416725,Y,d,go,d,1,0.20154474945229595,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1399.2063906878102,1400.2069647481367,1,1400.2069647481367,X,l,go,l,1,0.20350983940443257,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1401.1243398184997,1402.1250830908684,1,1402.1250830908684,Y,d,go,d,1,0.2369968534767395,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1403.0761303873296,1404.0768629930353,1,1404.0768629930353,X,l,go,l,1,0.46313977413228713,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,1405.2443993966517,1406.2451271538775,1,1406.2451271538775,Y,d,go,d,1,0.34147292403213214,,,,,,,,,,,,,,,,,21,001,19,w,Bachelor Psychologie 100%,2023-01-16_15h30.41.874,00_bat_bachelor,2022.2.4,59.903138487796895,
