loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,1208.722943164641,1209.7239152853726,1,1209.7239152853726,,Y,l,go,l,1,0.536545395385474,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,1210.9914075193228,1211.9923723673564,1,1211.9923723673564,,X,d,go,d,1,0.460416947491467,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,1232.7245363759575,1232.9241430670954,0.2,1232.9241430670954,,X,d,go,None,0,,1213.2058253547293,j,19.49097838718444,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,1234.3252177817049,1234.5254111391841,0.2,1234.5254111391841,,Y,l,go,l,1,0.3594089964753948,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,1235.5930052882177,1235.7927865246893,0.2,1235.7927865246893,,X,d,go,d,1,0.5005027462611906,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,1236.993943275651,1237.194035299879,0.2,1237.194035299879,,Y,l,go,l,1,0.379585956397932,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,1238.2782456832938,1238.4782087378553,0.2,1238.4782087378553,,X,d,go,d,1,0.27769946033367887,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,1239.4625321393833,1239.6627739816904,0.2,1239.6627739816904,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,1241.063854029635,1241.2636352661066,0.2,1241.2636352661066,,Y,l,go,l,1,0.325800770369824,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,1242.2980304009398,1242.498129212996,0.2,1242.498129212996,,X,d,go,d,1,0.3223088932572864,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,1243.53225234797,1243.7324573418591,0.2,1243.7324573418591,,Y,l,go,l,1,0.3679728711140342,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,1244.816585785884,1245.0166938100592,0.2,1245.0166938100592,,X,d,go,d,1,0.267588434915524,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,1246.0007980602095,1246.2010122661595,0.2,1246.2010122661595,,Y,l,go,l,1,0.41234230413101614,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,1247.3185166940675,1247.5187275060453,0.2,1247.5187275060453,,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,1248.9197144631762,1249.1199184873258,0.2,1249.1199184873258,,X,d,go,d,1,0.32555252802558243,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,1250.154072167701,1250.3538514648098,0.2,1250.3538514648098,,Y,l,go,l,1,0.4992242014268413,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,1251.5551570641692,1251.755308724707,0.2,1251.755308724707,,X,d,go,d,1,0.2655031026224606,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
