loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,1,0,1,0,60,0,60,0,,,,,,,60,,,0.2,1628.5855488069355,X,l,go,l,1,,0.3145091274054721,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,61,0,61,0,,,,,,,61,,,0.2,1629.2360701884609,Y,d,go,d,1,,0.3355423293542117,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,62,0,62,0,,,,,,,62,,,0.2,1629.9032194408355,X,l,go,l,1,,0.5169652716722339,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,63,0,63,0,,,,,,,63,,,0.2,1630.7538570889737,X,None,nogo,None,1,1631.5543788826326,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,64,0,64,0,,,,,,,64,,,0.2,1631.754503876553,X,None,nogo,None,1,1632.554938397603,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,65,0,65,0,,,,,,,65,,,0.2,1632.7551981792785,Y,d,go,d,1,,0.3692756464006379,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,66,0,66,0,,,,,,,66,,,0.2,1633.439081968856,X,l,go,l,1,,0.35800534882582724,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,67,0,67,0,,,,,,,67,,,0.2,1634.10641013016,Y,d,go,d,1,,0.39456484629772604,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,68,0,68,0,,,,,,,68,,,0.2,1634.8068674874958,X,l,go,l,1,,0.3663316478487104,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,69,0,69,0,,,,,,,69,,,0.2,1635.473798558116,X,None,nogo,None,1,1636.274598169839,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,70,0,70,0,,,,,,,70,,,0.2,1636.4745908001205,Y,d,go,d,1,,0.40945986937731504,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,71,0,71,0,,,,,,,71,,,0.2,1637.1918273008196,X,l,go,l,1,,0.38024970167316496,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,72,0,72,0,,,,,,,72,,,0.2,1637.8758579995483,Y,d,go,d,1,,0.35305601789150387,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,73,0,73,0,,,,,,,73,,,0.2,1638.5423100399785,X,l,go,l,1,,0.4221890752669424,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,74,0,74,0,,,,,,,74,,,0.2,1639.276499744621,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,75,0,75,0,,,,,,,75,,,0.2,1640.2769831384066,Y,d,go,d,1,,0.3671903139911592,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,76,0,76,0,,,,,,,76,,,0.2,1640.9610797764035,X,l,go,l,1,,0.4034084783634171,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,77,0,77,0,,,,,,,77,,,0.2,1641.6781136106001,Y,d,go,d,1,,0.35938183299731463,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,78,0,78,0,,,,,,,78,,,0.2,1642.3455300142523,X,l,go,l,1,,0.3475345659535378,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
,,,,,,,,,,,,1,0,1,0,79,0,79,0,,,,,,,79,,,0.2,1642.9957585474476,Y,d,go,d,1,,0.3363345714751631,,,,,,,,,,,,,,,,,53,001,18,m,Psychologie,2023-01-23_14h00.54.889,00_bat_bachelor,2022.2.4,59.8937449263197,
