loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,63977.662632890846,j,7.435059547515266,0,63985.12731387766,63986.14112041642,1,63986.14112041642,63986.9410371195,X,l,go,None,0,,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,63987.54123610121,63988.54102373768,1,63988.54102373768,63989.340812440816,Y,d,go,None,0,,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,63989.941010452836,63990.94079614991,1,63990.94079614991,,X,l,go,d,0,0.45704838533492875,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,63992.10762952357,63993.10767073567,1,63993.10767073567,,X,None,nogo,l,0,0.19564342117882916,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,63994.407669620516,63995.40766525689,1,63995.40766525689,63996.20739044489,Y,d,go,None,0,,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,63996.80750021455,63997.80744736608,1,63997.80744736608,,X,l,go,l,1,0.5668117260538565,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,63999.074036812584,64000.07497256971,1,64000.07497256971,,X,None,nogo,l,0,0.37909060494348523,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,64001.59116480428,64002.59123607697,1,64002.59123607697,,Y,d,go,d,1,0.4231797956927039,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,64003.72437540635,64004.72456401233,1,64004.72456401233,,X,l,go,l,1,0.35370346573836287,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,64005.79124422242,64006.79129852542,1,64006.79129852542,,Y,d,go,d,1,0.41462901195700397,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,64007.90787980224,64008.90785846891,1,64008.90785846891,,X,l,go,l,1,0.3787982414542057,,,,,,,,,,,,,,,,23,001,28,m,Psychologie,2023-01-17_09h05.00.722,00_bat_bachelor,2022.2.4,60.09583277331715,
