loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,506.49299757927656,j,15.405847226735204,0,521.922060159035,522.9346671833191,1,522.9346671833191,X,l,go,l,1,0.43231654702685773,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,524.0685449365992,525.069260572549,1,525.069260572549,Y,d,go,d,1,0.37717814976349473,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,526.1536828347016,527.1543819857761,1,527.1543819857761,X,l,go,l,1,0.22896488825790584,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,528.0884901389945,529.0891960780136,1,529.0891960780136,Y,d,go,d,1,0.32637671986594796,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,530.1231446675956,531.123935939977,1,531.123935939977,X,l,go,l,1,0.3706690617837012,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,532.2082510506734,533.2090331108775,1,533.2090331108775,Y,d,go,d,1,0.3018846104387194,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,534.2264546782244,535.2272614655085,1,535.2272614655085,Y,None,nogo,None,1,,536.0278181682806,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,536.628344422672,537.628846725449,1,537.628846725449,X,l,go,l,1,0.36325864121317863,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,538.6965645106975,539.6973034194671,1,539.6973034194671,Y,d,go,d,1,0.40716019575484097,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,540.8146299081855,541.8155899075791,1,541.8155899075791,X,l,go,l,1,0.19199423934333026,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,542.7162629254162,543.7169940767344,1,543.7169940767344,X,None,nogo,None,1,,544.5174470217898,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,545.1181143668946,546.1188906091265,1,546.1188906091265,Y,d,go,d,1,0.32030448014847934,,,,,,,,,,,,,,,,,,69,001,23,m,Psychologie,2023-01-25_12h02.01.304,00_bat_bachelor,2022.2.4,59.985196406715524,
