loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,2439.511974303052,space,51.013278666650876,0,2490.5644867878873,2491.57760145457,1,2491.57760145457,X,l,go,None,0,,,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,2492.9931321212207,2493.993756606069,1,2493.993756606069,Y,d,go,None,0,2494.79449987883,,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,2495.3950089697028,2496.3955844848533,1,2496.3955844848533,X,l,go,None,0,2497.1961561212083,,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,2497.79663466668,2498.797627636406,1,2498.797627636406,X,None,nogo,None,1,2499.5980586666847,,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,2500.1986889697146,2501.199406545493,1,2501.199406545493,Y,d,go,None,0,2502.0000620606006,,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,2502.600438303023,2503.601314424246,1,2503.601314424246,X,l,go,l,1,,0.5836263030068949,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,2504.8855578181683,2505.8863495757687,1,2505.8863495757687,X,None,nogo,None,1,2506.6870075151674,,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,2507.2868242424447,2508.2875912727322,1,2508.2875912727322,Y,d,go,None,0,,,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,2509.6889730909024,2510.689693575783,1,2510.689693575783,X,l,go,l,1,,0.5043259394005872,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,2511.9072974545415,2512.9081027879147,1,2512.9081027879147,Y,d,go,d,1,,0.44589151517720893,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,2514.058623515186,2515.0597721212544,1,2515.0597721212544,X,l,go,l,1,,0.42172278789803386,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,2516.193914181844,2517.1946938182227,1,2517.1946938182227,X,None,nogo,l,0,,0.6229950303095393,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,2518.9292310303426,2519.9297609697096,1,2519.9297609697096,X,None,nogo,l,0,,0.43257127271499485,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,2521.4646002424415,2522.4652751515387,1,2522.4652751515387,Y,d,go,d,1,,0.6001780606457032,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,2523.765999030322,2524.7667752727284,1,2524.7667752727284,X,l,go,l,1,,0.49076084850821644,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,2543.0810870302957,2543.280882909079,0.2,2543.280882909079,X,l,go,None,0,2544.081754666695,,2525.9782812121557,space,17.075344121200033,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,2544.6819277575705,2544.88224387879,0.2,2544.88224387879,Y,d,go,d,1,,0.4711424242705107,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,2546.0666327272775,2546.266852848523,0.2,2546.266852848523,X,l,go,l,1,,0.3670260605867952,,,,,,,,,,,,,,,91,001,23,w,Bildungswissenschaften und Psychologie,2023-02-06_09h25.06.787,00_bat_bachelor,2022.2.4,60.08564934582312,
