loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7,0,7,0,64,0,64,0,,,,,,,64,,,0.2,5910.449403418475,Y,l,go,l,1,,0.21326211944688112,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,65,0,65,0,,,,,,,65,,,0.2,5910.9993478791,Y,None,nogo,d,0,,0.20726309205929283,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,66,0,66,0,,,,,,,66,,,0.2,5911.549265188238,Y,None,nogo,None,1,5912.349496557814,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,67,0,67,0,,,,,,,67,,,0.2,5912.5494547638955,X,d,go,d,1,,0.20890284884080756,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,68,0,68,0,,,,,,,68,,,0.2,5913.082336444932,Y,l,go,l,1,,0.31657212997379247,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,69,0,69,0,,,,,,,69,,,0.2,5913.69879384301,Y,None,nogo,None,1,5914.498896242963,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,70,0,70,0,,,,,,,70,,,0.2,5914.699012994417,X,d,go,d,1,,0.07575382248614915,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,71,0,71,0,,,,,,,71,,,0.2,5915.099460800266,Y,l,go,l,1,,0.41080966003937647,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,72,0,72,0,,,,,,,72,,,0.2,5915.849471588139,X,d,go,d,1,,0.2541498572099954,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,73,0,73,0,,,,,,,73,,,0.2,5916.432674699303,X,None,nogo,None,1,5917.2329162507085,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,74,0,74,0,,,,,,,74,,,0.2,5917.432670820519,X,None,nogo,l,0,,0.22093047936505172,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,75,0,75,0,,,,,,,75,,,0.2,5917.99916121253,Y,l,go,None,0,5918.799532703255,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,76,0,76,0,,,,,,,76,,,0.2,5918.999492848729,X,d,go,d,1,,0.3187127349956427,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,77,0,77,0,,,,,,,77,,,0.2,5919.665750465094,Y,l,go,l,1,,0.49994658651121426,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,78,0,78,0,,,,,,,78,,,0.2,5920.499245818544,X,d,go,d,1,,0.24287034751614556,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,79,0,79,0,,,,,,,79,,,0.2,5921.082740808371,Y,l,go,l,1,,0.2517842825909611,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,80,0,80,0,,,,,,,80,,,0.2,5921.6827793053235,X,d,go,d,1,,0.3240218233258929,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,81,0,81,0,,,,,,,81,,,0.2,5922.332620929636,X,None,nogo,None,1,5923.13286102649,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,82,0,82,0,,,,,,,82,,,0.2,5923.332864323456,Y,l,go,l,1,,0.25795494626800064,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,83,0,83,0,,,,,,,83,,,0.2,5923.932755911388,X,d,go,d,1,,0.4739465991297038,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,84,0,84,0,,,,,,,84,,,0.2,5924.749362060917,X,None,nogo,None,1,5925.549531369921,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,85,0,85,0,,,,,,,85,,,0.2,5925.749338788199,Y,l,go,l,1,,0.38484409687225707,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,86,0,86,0,,,,,,,86,,,0.2,5926.482671281134,X,d,go,d,1,,0.27575469520525075,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,87,0,87,0,,,,,,,87,,,0.2,5927.0990782549925,X,None,nogo,None,1,5927.89950356388,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,88,0,88,0,,,,,,,88,,,0.2,5928.099303224575,X,None,nogo,None,1,5928.899526351743,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,89,0,89,0,,,,,,,89,,,0.2,5929.099094739839,Y,l,go,l,1,,0.26778621423000004,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,90,0,90,0,,,,,,,90,,,0.2,5929.682369123693,X,d,go,d,1,,0.3093653455725871,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,91,0,91,0,,,,,,,91,,,0.2,5930.299095612558,X,None,nogo,l,0,,0.2346424727147678,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,92,0,92,0,,,,,,,92,,,0.2,5930.865558853067,Y,l,go,None,0,5931.665516283392,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,93,0,93,0,,,,,,,93,,,0.2,5931.865522489446,X,d,go,d,1,,0.22123157014721073,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,94,0,94,0,,,,,,,94,,,0.2,5932.399308412452,X,None,nogo,None,1,5933.199526206285,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,95,0,95,0,,,,,,,95,,,0.2,5933.399357382135,Y,l,go,l,1,,0.3352184239483904,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,96,0,96,0,,,,,,,96,,,0.2,5934.08282953559,X,d,go,d,1,,0.2598138544562971,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,97,0,97,0,,,,,,,97,,,0.2,5934.682563063005,Y,l,go,l,1,,0.33122618347988464,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,98,0,98,0,,,,,,,98,,,0.2,5935.34915910344,X,d,go,d,1,,0.2733876660640817,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,99,0,99,0,,,,,,,99,,,0.2,5935.965818198383,X,None,nogo,None,1,5936.766245446663,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,100,0,100,0,,,,,,,100,,,0.2,5936.965954925603,X,None,nogo,None,1,5937.766210537593,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,101,0,101,0,,,,,,,101,,,0.2,5937.9661624406435,Y,l,go,l,1,,0.31227928356383927,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,102,0,102,0,,,,,,,102,,,0.2,5938.616175216404,X,d,go,d,1,,0.23774889545165934,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,103,0,103,0,,,,,,,103,,,0.2,5939.199276509447,Y,l,go,l,1,,0.2790831784514012,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,104,0,104,0,,,,,,,104,,,0.2,5939.8161445739825,Y,None,nogo,d,0,,0.23840877393377014,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,105,0,105,0,,,,,,,105,,,0.2,5940.399272533687,X,d,go,None,0,5941.199617842605,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,106,0,106,0,,,,,,,106,,,0.2,5941.399406351804,Y,l,go,l,1,,0.22365484168403782,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,107,0,107,0,,,,,,,107,,,0.2,5941.966158077019,X,d,go,d,1,,0.31214934423041996,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,108,0,108,0,,,,,,,108,,,0.2,5942.615941034688,X,None,nogo,None,1,5943.416181616398,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,109,0,109,0,,,,,,,109,,,0.2,5943.616021519498,Y,l,go,l,1,,0.2949454737827182,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,110,0,110,0,,,,,,,110,,,0.2,5944.249495151758,X,d,go,d,1,,0.3330846068129176,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,111,0,111,0,,,,,,,111,,,0.2,5944.898967806555,X,None,nogo,None,1,5945.69952208508,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,112,0,112,0,,,,,,,112,,,0.2,5945.899244654909,Y,l,go,l,1,,0.3628358651185408,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,113,0,113,0,,,,,,,113,,,0.2,5946.599296194283,X,d,go,d,1,,0.2711452429066412,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,114,0,114,0,,,,,,,114,,,0.2,5947.215750683274,Y,l,go,l,1,,0.29400147423439194,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,115,0,115,0,,,,,,,115,,,0.2,5947.849310133664,Y,None,nogo,None,1,5948.649018836833,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,7,0,7,0,116,0,116,0,,,,,,,116,,,0.2,5948.848890255089,X,d,go,d,1,,0.30952631519176066,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
