loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,8992.391211446695,j,22.23556354676839,0,9014.657320893428,9015.669777129806,1,9015.669777129806,X,l,go,l,1,0.4734397950815037,,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,9016.869583093532,9017.87196757723,1,9017.87196757723,Y,d,go,d,1,0.4178708523104433,,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,9019.019625687448,9020.019833687344,1,9020.019833687344,X,l,go,l,1,0.6026925808691885,,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,9021.352876919816,9022.353330252925,1,9022.353330252925,Y,d,go,d,1,0.38184808191726916,,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,9023.452894325863,9024.453142568178,1,9024.453142568178,Y,None,nogo,None,1,,9025.25290896828,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,9025.853236919647,9026.853139949992,1,9026.853139949992,X,l,go,l,1,0.4097060078056529,,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,9027.986177461251,9028.98608437038,1,9028.98608437038,Y,d,go,d,1,0.38922698740498163,,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,9030.086249655142,9031.085941291676,1,9031.085941291676,X,l,go,l,1,0.32078920243657194,,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,9032.136104176432,9033.135883085633,1,9033.135883085633,X,None,nogo,l,0,0.4627314366225619,,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,9034.736066067358,9035.736115521897,1,9035.736115521897,Y,d,go,None,0,,9036.535876588663,,,,,,,,,,,,,,,41,001,22,w,Psychologie,2023-01-18_12h35.01.826,00_bat_bachelor,2022.2.4,60.031638476326926,
