loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,1450.9400836681016,j,33.29649068694562,0,1484.2683393922634,1485.2673199046403,1,1485.2673199046403,X,d,go,d,1,0.46878286032006145,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1486.4520063395612,1487.4530323911458,1,1487.4530323911458,Y,l,go,None,0,,1488.253746565897,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1488.8543121456169,1489.855462915264,1,1489.855462915264,X,d,go,d,1,0.48173712147399783,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1491.039909760002,1492.0409805299714,1,1492.0409805299714,X,None,nogo,None,1,,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1493.442262745928,1494.4433519770391,1,1494.4433519770391,Y,l,go,l,1,0.3813358498737216,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1495.527669139672,1496.5287288324907,1,1496.5287288324907,X,d,go,d,1,0.6317962603643537,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1497.8633726621047,1498.8642780985683,1,1498.8642780985683,Y,l,go,l,1,0.40101257571950555,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1499.982246147003,1500.9833013266325,1,1500.9833013266325,X,d,go,d,1,0.4179303264245391,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1502.1175688691437,1503.118635125924,1,1503.118635125924,X,None,nogo,d,0,0.4501440832391381,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1504.6701643778943,1505.671118634753,1,1505.671118634753,X,None,nogo,None,1,,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,1507.0724410554394,1508.073483927641,1,1508.073483927641,Y,l,go,l,1,0.5678704902529716,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,1509.3580666086636,1510.3591911219992,1,1510.3591911219992,X,d,go,d,1,0.39353400841355324,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,1511.460342753213,1512.4613216253929,1,1512.4613216253929,Y,l,go,l,1,0.46763988491147757,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,1513.6457697008736,1514.6468092910945,1,1514.6468092910945,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,1516.0481280200183,1517.0491721229628,1,1517.0491721229628,X,d,go,d,1,0.35144496569409966,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,1539.8887634417042,1540.0891364468262,0.2,1540.0891364468262,X,d,go,None,0,,,1518.1381826209836,j,21.729944403283298,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,1541.4903000988998,1541.6905619245954,0.2,1541.6905619245954,Y,l,go,l,1,0.3265165453776717,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,1542.724976297468,1542.9251556620002,0.2,1542.9251556620002,X,d,go,d,1,0.37137974333018064,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,1544.0095470808446,1544.2097604963928,0.2,1544.2097604963928,Y,l,go,l,1,0.4235816108994186,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,1545.344128551893,1545.5444396082312,0.2,1545.5444396082312,X,d,go,d,1,0.40888539934530854,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,1546.662148784846,1546.8624081490561,0.2,1546.8624081490561,Y,l,go,l,1,0.4906905614770949,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,1548.0635811546817,1548.2637436981313,0.2,1548.2637436981313,X,d,go,d,1,0.3610568670555949,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,1549.3314758283086,1549.5317031927407,0.2,1549.5317031927407,Y,l,go,l,1,0.3490384006872773,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,1550.5827505984344,1550.7829418596812,0.2,1550.7829418596812,X,d,go,d,1,0.3778220023959875,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,1551.8671687664464,1552.0676221819595,0.2,1552.0676221819595,Y,l,go,l,1,0.4531204947270453,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,1553.235417122487,1553.4356231531128,0.2,1553.4356231531128,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,1554.8370752152987,1555.0372352977283,0.2,1555.0372352977283,X,d,go,d,1,0.33190198335796595,,,,,,,,,,,,,,,,56,001,26,w,Psychologie,2023-01-24_09h12.21.660,00_bat_bachelor,2022.2.4,59.92651465998165,
