loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,20287.098366012913,20287.298342158436,0.2,20287.298342158436,Y,d,go,d,1,,0.25998282665386796,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,20288.281786045176,20288.48185382702,0.2,20288.48185382702,X,l,go,l,1,,0.4047788776224479,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,20289.598455952248,20289.798374885693,0.2,20289.798374885693,X,None,nogo,d,0,,0.272521487204358,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,20291.198558934033,20291.398576776497,0.2,20291.398576776497,Y,d,go,d,1,,0.5438789314357564,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,20292.648528655292,20292.84838892205,0.2,20292.84838892205,X,l,go,l,1,,0.2776715453946963,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,20293.831723233103,20294.03193404514,0.2,20294.03193404514,Y,d,go,d,1,,0.2957205062266439,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,20295.03191222693,20295.23190000886,0.2,20295.23190000886,X,l,go,l,1,,0.31146401388105005,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,20296.24865248555,20296.448511782568,0.2,20296.448511782568,Y,d,go,d,1,,0.27818790869787335,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,20297.43170597253,20297.63165011804,0.2,20297.63165011804,X,l,go,l,1,,0.3269675213377923,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,20298.681638457463,20298.881652421085,0.2,20298.881652421085,Y,d,go,d,1,,0.2617893712595105,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
