loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,2,0,2,0,234,0,234,0,,,,,,,234,,,1,2086.5666334221605,X,d,go,d,1,,0.23406730266287923,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,235,0,235,0,,,,,,,235,,,1,2087.9177261004224,Y,l,go,None,0,,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,236,0,236,0,,,,,,,236,,,1,2089.719089105958,X,d,go,d,1,,0.18605908355675638,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,237,0,237,0,,,,,,,237,,,1,2091.020063505508,Y,l,go,l,1,,0.5820768310222775,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,238,0,238,0,,,,,,,238,,,1,2092.7046726280823,X,d,go,d,1,,0.2413385717663914,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,239,0,239,0,,,,,,,239,,,1,2094.05578082148,Y,l,go,l,1,,0.39402552833780646,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,240,0,240,0,,,,,,,240,,,1,2095.5566377907526,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,241,0,241,0,,,,,,,241,,,1,2097.358045886969,X,d,go,d,1,,0.3083339333534241,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,242,0,242,0,,,,,,,242,,,1,2098.7760243511293,Y,l,go,l,1,,0.36175160435959697,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,243,0,243,0,,,,,,,243,,,1,2100.243575154571,X,d,go,d,1,,0.3822044429834932,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,244,0,244,0,,,,,,,244,,,1,2101.7281276469585,Y,l,go,l,1,,0.5946746431291103,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,245,0,245,0,,,,,,,245,,,1,2103.4295949433,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,246,0,246,0,,,,,,,246,,,1,2105.2309448577,X,d,go,d,1,,0.30734387319535017,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,247,0,247,0,,,,,,,247,,,1,2106.6486047764774,Y,l,go,l,1,,0.2331795454956591,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,248,0,248,0,,,,,,,248,,,1,2107.982766069006,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,2,0,2,0,249,0,249,0,,,,,,,249,,,1,2109.784359377343,X,d,go,d,1,,0.3942121947184205,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,0,,,0.2,2137.5725776618347,X,d,go,None,0,2138.373032061616,,,,,,,,,2110.2850621647667,space,27.064320475794375,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,1,0,1,0,,,,,,,1,,,0.2,2138.5733621462714,Y,l,go,l,1,,0.3882985005620867,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,2,0,2,0,,,,,,,2,,,0.2,2139.273710897658,X,d,go,d,1,,0.360232574865222,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,3,0,3,0,,,,,,,3,,,0.2,2139.940884392243,Y,l,go,l,1,,0.3484022773336619,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,4,0,4,0,,,,,,,4,,,0.2,2140.5913766829763,Y,None,nogo,None,1,2141.3918179918546,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,5,0,5,0,,,,,,,5,,,0.2,2141.5921286826488,X,d,go,d,1,,0.31293029454536736,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,6,0,6,0,,,,,,,6,,,0.2,2142.2094311711844,Y,l,go,l,1,,0.3197996246162802,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,7,0,7,0,,,,,,,7,,,0.2,2142.8429818942677,X,d,go,d,1,,0.32707234867848456,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,8,0,8,0,,,,,,,8,,,0.2,2143.476919526467,X,None,nogo,l,0,,0.5411987900733948,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,9,0,9,0,,,,,,,9,,,0.2,2144.3274010533933,Y,l,go,l,1,,0.3619513618759811,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,10,0,10,0,,,,,,,10,,,0.2,2144.994739881251,X,d,go,d,1,,0.2870030344929546,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,11,0,11,0,,,,,,,11,,,0.2,2145.595353408251,Y,l,go,l,1,,0.5344133388716727,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,12,0,12,0,,,,,,,12,,,0.2,2146.4456511777826,Y,None,nogo,None,1,2147.246429456398,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,13,0,13,0,,,,,,,13,,,0.2,2147.446462813765,X,d,go,d,1,,0.26751552894711494,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,14,0,14,0,,,,,,,14,,,0.2,2148.030214773258,Y,l,go,l,1,,0.3392565851099789,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,15,0,15,0,,,,,,,15,,,0.2,2148.6808399122674,Y,None,nogo,d,0,,0.2159839174710214,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,16,0,16,0,,,,,,,16,,,0.2,2149.1977632981725,X,d,go,d,1,,0.46796828019432724,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,17,0,17,0,,,,,,,17,,,0.2,2149.981852130033,Y,l,go,l,1,,0.3557215465698391,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
,,,,,,,,,,,,3,0,3,0,18,0,18,0,,,,,,,18,,,0.2,2150.6490033217706,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,76,001,22,w,Psychologie,2023-01-26_12h01.07.502,00_bat_bachelor,2022.2.4,60.071503256170914,
