loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,598.5838568492327,598.7838168976596,0.2,598.7838168976596,Y,l,go,l,1,0.4701449204585515,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,599.9681124384515,600.1683871540008,0.2,600.1683871540008,X,d,go,d,1,0.3980895429267548,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,601.2689463305869,601.468950985145,0.2,601.468950985145,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,602.8704764176509,603.0704616782314,0.2,603.0704616782314,Y,l,go,l,1,0.31258299431647174,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,604.087824612594,604.2877565397648,0.2,604.2877565397648,X,d,go,d,1,0.3736953256011475,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,605.3722851475759,605.5722049534961,0.2,605.5722049534961,Y,l,go,l,1,0.4495431935065426,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,606.723346506682,606.9234617068432,0.2,606.9234617068432,Y,None,nogo,l,0,0.4747466241242364,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,608.507895041781,608.7081678179384,0.2,608.7081678179384,X,d,go,d,1,0.43431698955828324,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,609.859114461753,610.0591506314813,0.2,610.0591506314813,Y,l,go,l,1,0.37941800063708797,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,611.1433180266467,611.3434531056264,0.2,611.3434531056264,X,d,go,d,1,0.5187510517716873,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
