loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,218.48071297910064,j,15.562748990720138,0,234.06852263351902,235.08345062634908,1,235.08345062634908,X,l,go,None,0,,,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,236.48428340163082,237.48541164351627,1,237.48541164351627,Y,d,go,None,0,238.28596931602806,,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,238.88665120652877,239.88737944862805,1,239.88737944862805,X,l,go,l,1,,0.27991324895992875,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,240.87131448672153,241.8721891529858,1,241.8721891529858,Y,d,go,d,1,,0.3589027866255492,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,242.93971736263484,243.94031954417005,1,243.94031954417005,X,l,go,l,1,,0.4028314924798906,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,245.0579500326421,246.05875342618674,1,246.05875342618674,X,None,nogo,None,1,246.8593765529804,,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,247.4596322621219,248.46042547374964,1,248.46042547374964,Y,d,go,d,1,,0.2989348154515028,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,249.46133989747614,250.46192947309464,1,250.46192947309464,X,l,go,l,1,,0.48977787466719747,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,251.6794008826837,252.67998900380917,1,252.67998900380917,Y,d,go,d,1,,0.39943125168792903,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,253.78098240937106,254.78178871190175,1,254.78178871190175,X,l,go,None,0,,,,,,,,,,,,,,,,,,,61,001,22,w,Psychologie,2023-01-24_15h06.27.853,00_bat_bachelor,2022.2.4,60.03373530239092,
