loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,stimulus.stopped,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,9,0,9,0,157,0,157,0,,,,,,,157,,,0.2,6345.839521939394,X,d,go,d,1,0.5713638181824763,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,158,0,158,0,,,,,,,158,,,0.2,6346.723532121212,Y,l,go,l,1,0.2954588484845999,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,159,0,159,0,,,,,,,159,,,0.2,6347.323667878788,Y,None,nogo,None,1,,,,,6348.12459830303,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,160,0,160,0,,,,,,,160,,,0.2,6348.324722909091,X,d,go,d,1,0.3272387272728565,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,161,0,161,0,,,,,,,161,,,0.2,6348.958592484849,Y,l,go,l,1,0.2843344848480456,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,162,0,162,0,,,,,,,162,,,0.2,6349.559010909091,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,163,0,163,0,,,,,,,163,,,0.2,6350.559761939394,X,d,go,d,1,0.28390781818154665,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,164,0,164,0,,,,,,,164,,,0.2,6351.1432387878785,Y,l,go,l,1,0.24378660606100766,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,165,0,165,0,,,,,,,165,,,0.2,6351.693675151515,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,166,0,166,0,,,,,,,166,,,0.2,6352.694733575758,X,d,go,d,1,0.35634709090948036,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,167,0,167,0,,,,,,,167,,,0.2,6353.362041212122,Y,l,go,l,1,0.20058030303073338,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,168,0,168,0,,,,,,,168,,,0.2,6353.878655030303,Y,None,nogo,None,1,,,,,6354.679083636363,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,169,0,169,0,,,,,,,169,,,0.2,6354.8797071515155,X,d,go,d,1,0.1707480606056606,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,170,0,170,0,,,,,,,170,,,0.2,6355.363248000001,Y,l,go,l,1,0.15061181818157365,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,171,0,171,0,,,,,,,171,,,0.2,6355.830156121212,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,172,0,172,0,,,,,,,172,,,0.2,6356.831234424242,X,d,go,d,1,0.09236745454575157,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,173,0,173,0,,,,,,,173,,,0.2,6357.231488,Y,l,go,l,1,0.043595575757649385,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,174,0,174,0,,,,,,,174,,,0.2,6357.581484121212,Y,None,nogo,l,0,0.5253977575758881,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,175,0,175,0,,,,,,,175,,,0.2,6358.415802181818,X,d,go,d,1,0.37948018181862153,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,176,0,176,0,,,,,,,176,,,0.2,6359.099512727273,Y,l,go,l,1,0.3986680606059281,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,177,0,177,0,,,,,,,177,,,0.2,6359.799854545455,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,178,0,178,0,,,,,,,178,,,0.2,6360.800973090909,X,d,go,d,1,0.2019926666663423,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,179,0,179,0,,,,,,,179,,,0.2,6361.317931151515,Y,l,go,l,1,0.37371630303016445,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,180,0,180,0,,,,,,,180,,,0.2,6362.001507393939,X,d,go,d,1,0.633372060606348,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,181,0,181,0,,,,,,,181,,,0.2,6362.935867151516,Y,l,go,l,1,0.27462248484891916,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
,,,,,,,,,,,,9,0,9,0,182,0,182,0,,,,,,,182,,,0.2,6363.5196940606065,X,d,go,d,1,0.2507563030304709,,,,,,,,,,,,,,,,,,84,001,22,w,Psychologie,2023-01-31_10h36.43.512,00_bat_bachelor,2022.2.4,59.95587247785864,
