loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,6323.849712471913,j,14.137380880135709,0,6338.008209637658,6339.007756714766,1,6339.007756714766,X,d,go,None,0,,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,6340.4086829092585,6341.409938703615,1,6341.409938703615,Y,l,go,l,1,0.40614302628483756,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,6342.528111783339,6343.52834973196,1,6343.52834973196,X,d,go,d,1,0.3352983374009568,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,6344.57952181353,6345.58110253083,1,6345.58110253083,X,None,nogo,d,0,0.28180953883139637,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,6347.015472403909,6348.016252711282,1,6348.016252711282,Y,l,go,l,1,0.4402303969157515,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,6349.1674698800125,6350.168331007864,1,6350.168331007864,X,d,go,None,0,,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,6351.5700654071525,6352.5710569964895,1,6352.5710569964895,X,None,nogo,d,0,0.30139722310315165,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,6353.988874260975,6354.989960209247,1,6354.989960209247,Y,l,go,l,1,0.4261627103790602,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,6356.124456974582,6357.12530866654,1,6357.12530866654,X,d,go,d,1,0.35458530384704545,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,6358.193037869523,6359.194024125529,1,6359.194024125529,Y,l,go,l,1,0.390099545687292,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,6360.295225725036,6361.2963001861335,1,6361.2963001861335,X,d,go,l,0,0.3597926863261023,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,6362.363891953275,6363.364879029794,1,6363.364879029794,X,None,nogo,d,0,0.5950237693080567,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,6365.066674434185,6366.067794843982,1,6366.067794843982,Y,l,go,l,1,0.38129585699090285,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,6367.1520167581475,6368.1531408602505,1,6368.1531408602505,X,d,go,d,1,0.31069732185216026,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,6369.170771211991,6370.171658596243,1,6370.171658596243,X,None,nogo,None,1,,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,6388.289967881039,6388.490176209159,0.2,6388.490176209159,X,d,go,d,1,0.6063579185041021,6371.601883650509,space,16.665091022613808,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,6389.808426745261,6390.008820098946,0.2,6390.008820098946,Y,l,go,d,0,0.3027941456078338,,,,,,,,,,,,,,,,58,001,22,w,Psychologie ,2023-01-24_10h33.51.592,00_bat_bachelor,2022.2.4,59.84182125267235,
