loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,208.96832083350938,209.16849264882353,0.2,209.16849264882353,Y,d,go,d,1,0.4058049892919371,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,210.28629239536724,210.48657374909794,0.2,210.48657374909794,Y,None,nogo,d,0,0.3040823643576118,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,211.90466260321534,212.10473882882508,0.2,212.10473882882508,X,l,go,None,0,,212.90563491050875,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,213.50617497182566,213.70636606918316,0.2,213.70636606918316,Y,d,go,None,0,,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,215.1077796480904,215.30795638647942,0.2,215.30795638647942,X,l,go,l,1,0.4827190090194904,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,216.49248513128816,216.69269592094525,0.2,216.69269592094525,X,None,nogo,None,1,,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,218.09418252546357,218.2943034690037,0.2,218.2943034690037,Y,d,go,d,1,0.33634368445547125,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,219.3453606788264,219.54558254540206,0.2,219.54558254540206,X,l,go,l,1,0.4852589054133887,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,220.74671395006607,220.94712617553796,0.2,220.94712617553796,Y,d,go,d,1,0.30689426063992187,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,221.964635501688,222.16518393223225,0.2,222.16518393223225,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,223.56675669056136,223.76641076249814,0.2,223.76641076249814,Y,None,nogo,l,0,0.29726103382279234,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,225.16768772607685,225.3678090798732,0.2,225.3678090798732,X,l,go,l,1,0.6630052940302562,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7830704479711,None,,226.7830704479711,226.7830704479711,space,18.370931977957753,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,1,246.171779621834,X,l,go,l,1,0.282920937141796,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,1,,,1,247.55660161780446,Y,d,go,d,1,0.33075394315898166,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,2,,,1,248.99143959325556,X,l,go,l,1,0.31080892570054175,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,3,,,1,250.40954731916008,Y,d,go,d,1,0.3730050027483003,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,4,,,1,251.89419163315216,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,5,,,1,253.69602638111735,Y,None,nogo,d,0,0.5988633716269192,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,6,,,1,255.3978853752265,X,l,go,l,1,0.49688392628519296,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,7,,,1,256.9998465641655,Y,d,go,d,1,0.4958049523688146,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,8,,,1,258.60108036878756,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,9,,,1,260.40268332197604,X,l,go,l,1,0.40322119548011415,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,10,,,1,261.9210424939313,Y,d,go,None,0,,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,11,,,1,263.7231558058848,X,l,go,l,1,0.3482140385600019,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,12,,,1,265.17430310797823,X,None,nogo,None,1,,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,13,,,1,266.9759524201221,Y,d,go,d,1,0.3745184380248361,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,14,,,1,268.46093970833243,X,l,go,l,1,0.40935083399102723,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,15,,,1,269.97903385475536,X,None,nogo,None,1,,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,16,,,1,271.78100439753666,Y,d,go,d,1,0.3773533086567227,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,17,,,1,273.26557855771136,X,l,go,l,1,0.4524334829827694,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,18,,,1,274.8340291962957,Y,d,go,d,1,0.5003665915230044,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,19,,,1,276.43551735978775,X,l,go,l,1,0.3784782312721404,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,20,,,1,277.9203376737076,Y,d,go,d,1,0.49398423516709045,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,21,,,1,279.5222024524298,Y,None,nogo,d,0,0.4047366820378784,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,22,,,1,281.0402354706726,X,l,go,l,1,0.4459904087029827,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,23,,,1,282.5916013983174,Y,d,go,d,1,0.3988798639278457,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,,24,,,1,284.09323606431343,X,l,go,l,1,0.377121513880013,,,,,,,,,,,,,,,,7,001,2022-12-16_11h12.49.002,00_bat_bachelor,2022.2.4,59.947639601082656,
