loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,3704.5369086418505,3704.7372298058035,0.2,3704.7372298058035,X,d,go,d,1,0.4151248347188812,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,3705.8545719801914,3706.0549430835817,0.2,3706.0549430835817,Y,l,go,l,1,0.3616144797997549,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,3707.122458785423,3707.3223188580014,0.2,3707.3223188580014,Y,None,nogo,None,1,,3708.123075998141,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,3708.7236884593294,3708.9236096228997,0.2,3708.9236096228997,X,d,go,d,1,0.32461759544094093,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,3709.957956807717,3710.1578348197218,0.2,3710.1578348197218,Y,l,go,l,1,0.4653154288389487,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,3711.325418982233,3711.5255689944897,0.2,3711.5255689944897,Y,None,nogo,l,0,0.39431172361946665,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,3713.026999298905,3713.2270664020034,0.2,3713.2270664020034,X,d,go,None,0,,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,3714.628228972826,3714.8280216514104,0.2,3714.8280216514104,Y,l,go,l,1,0.5645077674416825,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,3716.0959608203266,3716.296231559987,0.2,3716.296231559987,X,d,go,d,1,0.4083224038768094,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,3717.413609613199,3717.6135094433994,0.2,3717.6135094433994,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
