loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,191.60009396378882,j,20.336801071476657,0,211.95757278677775,212.97191123187076,1,212.97191123187076,213.77223578991834,X,d,go,None,0,,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,214.3727365421655,215.37362721015234,1,215.37362721015234,,Y,l,go,l,1,0.5445128887658939,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,216.6244867265341,217.6252973943774,1,217.6252973943774,,X,d,go,d,1,0.34016737941419706,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,218.6760824379453,219.67659589325194,1,219.67659589325194,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,221.07782459806185,222.07855769002344,1,222.07855769002344,,Y,l,go,l,1,0.4791421270056162,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,223.26288232178194,224.2634272922587,1,224.2634272922587,,X,d,go,d,1,0.2942114337638486,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,225.26435674817185,226.26517905239598,1,226.26517905239598,,Y,l,go,l,1,0.37217421384411864,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,227.3493731142662,228.34988705438445,1,228.34988705438445,229.15050543105463,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,229.7511555168603,230.75175042680348,1,230.75175042680348,231.55262383414083,X,d,go,None,0,,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,232.15311537423986,233.15354398093768,1,233.15354398093768,,Y,l,go,l,1,0.34815866374992765,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,234.20457581273513,235.20527205616236,1,235.20527205616236,,X,d,go,d,1,0.4886199589527678,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,236.40604228759184,237.4067205916217,1,237.4067205916217,,Y,l,go,l,1,0.3661262050445657,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,238.47444578103023,239.47522444883361,1,239.47522444883361,,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,240.87665630545234,241.87734285191982,1,241.87734285191982,,X,d,go,d,1,0.2962778610235546,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,242.8781942470814,243.87892782391282,1,243.87892782391282,,Y,l,go,l,1,0.35843407263746485,,,,,,,,,,,,,,,,,74,001,19,w,Psychologie,2023-01-26_08h55.27.178,00_bat_bachelor,2022.2.4,59.951079842963544,
