loop_instruction.thisRepN;loop_instruction.thisTrialN;loop_instruction.thisN;loop_instruction.thisIndex;loop_rsi_practice.thisRepN;loop_rsi_practice.thisTrialN;loop_rsi_practice.thisN;loop_rsi_practice.thisIndex;loop_practice.thisRepN;loop_practice.thisTrialN;loop_practice.thisN;loop_practice.thisIndex;loop_exp.thisRepN;loop_exp.thisTrialN;loop_exp.thisN;loop_exp.thisIndex;loop_trials.thisRepN;loop_trials.thisTrialN;loop_trials.thisN;loop_trials.thisIndex;map_condition;map_x_key;map_y_key;key_resp_welcome.started;key_resp_welcome.keys;key_resp_welcome.rt;index;text_empty_rsi_practice.started;text_empty_rsi_practice.stopped;rsi;stimulus.started;stimulus.stopped;stimulus;correct;trial_type;key_resp_trial.keys;key_resp_trial.corr;key_resp_trial.rt;key_resp_instruction_rsi.started;key_resp_instruction_rsi.keys;key_resp_instruction_rsi.rt;key_resp_instruction_rsi.stopped;key_resp_instruction_final.started;key_resp_instruction_final.keys;key_resp_instruction_final.rt;key_resp_break.started;key_resp_break.keys;key_resp_break.rt;key_resp_break.stopped;key_resp_end_screen.started;image_end_screen.started;key_resp_end_screen.keys;participant;session;Alter;Geschlecht (w/m/d/andere);Studiengang;date;expName;psychopyVersion;frameRate
;;;;1;0;1;0;0;0;0;0;;;;;;;;;;;;;;;0;11.788.011.399.751.900;11.790.010.307.873.700;0.2;11.790.010.307.873.700;;X;l;go;l;1;0.6110302344022784;11.750.626.603.332.400;j;3.720.179.757.234.290;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;1;0;1;0;;;;;;;;;;;;;;;1;11.803.178.548.761.900;11.805.178.305.368.000;0.2;11.805.178.305.368.000;;Y;d;go;d;1;0.35761459967761766;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;2;0;2;0;;;;;;;;;;;;;;;2;11.815.844.957.165.900;11.817.844.980.438.800;0.2;11.817.844.980.438.800;11.825.844.530.499.500;X;l;go;None;0;;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;3;0;3;0;;;;;;;;;;;;;;;3;11.831.843.349.409.100;1.183.384.346.965.160;0.2;1.183.384.346.965.160;11.841.841.574.864.600;X;None;nogo;None;1;;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;4;0;4;0;;;;;;;;;;;;;;;4;11.847.843.540.439.400;11.849.843.554.015.200;0.2;11.849.843.554.015.200;;Y;d;go;d;1;0.33945218425651547;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;5;0;5;0;;;;;;;;;;;;;;;5;11.860.352.479.829.000;11.862.353.530.980.000;0.2;11.862.353.530.980.000;;X;l;go;l;1;0.33646018568833824;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;6;0;6;0;;;;;;;;;;;;;;;6;11.873.017.816.718.600;118.750.158.763.559;0.2;118.750.158.763.559;;X;None;nogo;l;0;0.3332708539091982;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;7;0;7;0;;;;;;;;;;;;;;;7;11.889.847.490.982.900;11.891.845.298.499.200;0.2;11.891.845.298.499.200;1.189.984.739.401.330;Y;d;go;None;0;;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;8;0;8;0;;;;;;;;;;;;;;;8;11.905.849.000.800.300;11.907.845.668.923.200;0.2;11.907.845.668.923.200;;X;l;go;l;1;0.36462889931863174;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;9;0;9;0;;;;;;;;;;;;;;;9;11.918.514.177.690.000;11.920.512.639.751.300;0.2;11.920.512.639.751.300;11.928.514.410.417.200;X;None;nogo;None;1;;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;10;0;10;0;;;;;;;;;;;;;;;10;1.193.451.301.599.350;11.936.513.349.569.200;0.2;11.936.513.349.569.200;;Y;d;go;d;1;0.39182549218821805;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;11;0;11;0;;;;;;;;;;;;;;;11;1.194.768.110.657.880;11.949.680.771.063.800;0.2;11.949.680.771.063.800;;X;l;go;l;1;0.3866696159093408;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;12;0;12;0;;;;;;;;;;;;;;;12;119.608.474.662.558;1.196.284.541.922.630;0.2;1.196.284.541.922.630;;X;None;nogo;l;0;0.4144630569644505;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;13;0;13;0;;;;;;;;;;;;;;;13;119.783.453.632.264;11.980.346.147.710.900;0.2;11.980.346.147.710.900;;Y;d;go;d;1;0.48875150580715854;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;1;0;1;0;14;0;14;0;;;;;;;;;;;;;;;14;11.992.347.373.407.200;11.994.345.762.741.400;0.2;11.994.345.762.741.400;;X;l;go;l;1;0.41770038873073645;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.006.160.797.012.800;None;;12.006.160.797.012.800;12.006.160.797.012.800;space;29.673.103.040.840.900;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;0;;;1;12.046.011.803.145.800;;X;l;go;l;1;0.3067045637726551;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;1;0;1;0;;;;;;;1;;;1;12.060.181.750.214.800;;Y;d;go;d;1;0.41046984678541776;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;2;0;2;0;;;;;;;2;;;1;12.075.348.157.406.800;;X;l;go;l;1;0.3814497396379011;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;3;0;3;0;;;;;;;3;;;1;12.090.348.867.709.500;;Y;d;go;d;1;0.433000260105473;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;4;0;4;0;;;;;;;4;;;1;12.105.680.899.063.700;;X;l;go;l;1;0.37236513798416127;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
