loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,8,0,8,0,189,0,189,0,,,,,,,189,,,1,3633.7500996363815,Y,d,go,d,1,0.3564780119340867,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,190,0,190,0,,,,,,,190,,,1,3635.133394294884,Y,None,nogo,l,0,0.3646278220694512,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,191,0,191,0,,,,,,,191,,,1,3636.51676895353,X,l,go,None,0,,3637.3164690264966,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,192,0,192,0,,,,,,,192,,,1,3638.316611571703,Y,d,go,d,1,0.33265597419813275,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,193,0,193,0,,,,,,,193,,,1,3639.6667935352307,X,l,go,l,1,0.4546384015120566,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,194,0,194,0,,,,,,,194,,,1,3641.149981430266,Y,d,go,d,1,0.42766339727677405,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,195,0,195,0,,,,,,,195,,,1,3642.6000915393233,X,l,go,l,1,0.38472525705583394,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,196,0,196,0,,,,,,,196,,,1,3644.0164281053003,X,None,nogo,d,0,0.3450457805301994,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,197,0,197,0,,,,,,,197,,,1,3645.3834890828,Y,d,go,d,1,0.465748209040612,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,198,0,198,0,,,,,,,198,,,1,3646.866803523153,X,l,go,l,1,0.3114254493266344,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,199,0,199,0,,,,,,,199,,,1,3648.200076411944,Y,d,go,d,1,0.3208421675954014,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,200,0,200,0,,,,,,,200,,,1,3649.550089648459,X,l,go,l,1,0.2988339464645833,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,201,0,201,0,,,,,,,201,,,1,3650.8664132205304,Y,d,go,d,1,0.32630010158754885,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,202,0,202,0,,,,,,,202,,,1,3652.2164303355385,Y,None,nogo,None,1,,3653.016755377641,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,203,0,203,0,,,,,,,203,,,1,3654.016771862516,X,l,go,l,1,0.39361930917948484,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,204,0,204,0,,,,,,,204,,,1,3655.4333959433716,Y,d,go,d,1,0.33535512327216566,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,205,0,205,0,,,,,,,205,,,1,3656.80008601211,X,l,go,l,1,0.3448765685316175,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,206,0,206,0,,,,,,,206,,,1,3658.166401778115,X,None,nogo,None,1,,3658.966405365849,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,207,0,207,0,,,,,,,207,,,1,3659.966432032641,Y,d,go,d,1,0.4909758206922561,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,208,0,208,0,,,,,,,208,,,1,3661.4830700771417,X,l,go,l,1,0.31778229190967977,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,209,0,209,0,,,,,,,209,,,1,3662.8331846466754,Y,d,go,d,1,0.45681245997548103,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,210,0,210,0,,,,,,,210,,,1,3664.3167468444444,Y,None,nogo,None,1,,3665.1164992810227,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,211,0,211,0,,,,,,,211,,,1,3666.116733947303,X,l,go,l,1,0.35720867780037224,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,212,0,212,0,,,,,,,212,,,1,3667.5000916363206,Y,d,go,d,1,0.34886735235340893,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,213,0,213,0,,,,,,,213,,,1,3668.8667366141453,Y,None,nogo,None,1,,3669.666735353414,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,214,0,214,0,,,,,,,214,,,1,3670.666697535431,X,l,go,l,1,0.33498469926416874,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,215,0,215,0,,,,,,,215,,,1,3672.0330554831307,Y,d,go,d,1,0.44037077901884913,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
