loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,986.3348930931825,j,19.681341597199207,0,1006.042717153061,1007.0567729310715,1,1007.0567729310715,X,l,go,None,0,,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1008.4575754534453,1009.4586416368256,1,1009.4586416368256,Y,d,go,l,0,0.5708376789116301,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1010.7426483529562,1011.7435506572947,1,1011.7435506572947,X,l,go,d,0,0.22202892912901007,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1012.6777963798377,1013.6785556536634,1,1013.6785556536634,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1015.0793911457877,1016.0803860563319,1,1016.0803860563319,Y,d,go,None,0,,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1017.4815056700609,1018.4822179135226,1,1018.4822179135226,X,l,go,None,0,,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1019.8833297696838,1020.8838708614057,1,1020.8838708614057,Y,d,go,l,0,0.29724746278952807,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1021.8848948628874,1022.885708924674,1,1022.885708924674,X,l,go,l,1,0.2786714357789606,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1023.8699387199013,1024.870538478368,1,1024.870538478368,X,None,nogo,l,0,0.4066987734986469,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1026.4049460435635,1027.405765923555,1,1027.405765923555,Y,d,go,d,1,0.40019112767186016,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,1028.5065835247224,1029.507318556105,1,1029.507318556105,X,l,go,l,1,0.3778628527652472,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,1030.591370072303,1031.5919979519967,1,1031.5919979519967,Y,d,go,d,1,0.373109876178205,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,1032.6764596506255,1033.676999287767,1,1033.676999287767,X,l,go,l,1,0.368362232868094,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,1034.76136838019,1035.761768380762,1,1035.761768380762,X,None,nogo,l,0,0.3790647939022165,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,1037.2466311466123,1038.2473016930453,1,1038.2473016930453,Y,d,go,d,1,0.38961899108835496,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,1043.2511911532492,1043.4513761716953,0.2,1043.4513761716953,X,l,go,l,1,0.5940765005943831,1039.3588848856452,j,3.8730858761118725,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,1044.7521446091705,1044.9524028398737,0.2,1044.9524028398737,Y,d,go,d,1,0.3410017082642298,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,1046.0032446107944,1046.203437871678,0.2,1046.203437871678,X,l,go,l,1,0.38598747065407224,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,1047.3042515940615,1047.5043672790925,0.2,1047.5043672790925,Y,d,go,d,1,0.3808703722897917,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,1048.588384370989,1048.7886731471517,0.2,1048.7886731471517,X,l,go,l,1,0.48795658865128644,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,1049.9896421667654,1050.1895008817082,0.2,1050.1895008817082,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,63,001,19,w,Psychologie,2023-01-25_09h05.18.746,00_bat_bachelor,2022.2.4,59.913289002238386,
