loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,7132.4821258268785,j,16.6787534262985,0,7149.187840393803,7150.204625355313,1,7150.204625355313,X,l,go,None,0,,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,7151.6204898809665,7152.621097395837,1,7152.621097395837,Y,d,go,d,1,0.35971309611340985,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,7153.688545605575,7154.689122574986,1,7154.689122574986,X,l,go,l,1,0.30665130366105586,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,7155.706686202844,7156.707506081206,1,7156.707506081206,X,None,nogo,l,0,0.4647011664346792,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,7158.291753555532,7159.292616585386,1,7159.292616585386,Y,d,go,None,0,,7160.093395833508,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,7160.693370330497,7161.694398208754,1,7161.694398208754,X,l,go,l,1,0.35784836974926293,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,7162.761497327767,7163.762507751526,1,7163.762507751526,Y,d,go,d,1,0.36983672756468877,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,7164.84668613493,7165.847410983057,1,7165.847410983057,X,l,go,l,1,0.301226336567197,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,7166.864942610962,7167.865598610602,1,7167.865598610602,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,7169.266615628323,7170.267214900756,1,7170.267214900756,Y,d,go,d,1,0.48838212463306263,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,7171.468120015459,7172.469258924015,1,7172.469258924015,X,l,go,l,1,0.303205487143714,,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,7173.486340127827,7174.487334551581,1,7174.487334551581,X,None,nogo,None,1,,7175.287749678653,,,,,,,,,,,,,,,,,27,001,19,w,Psychologie,2023-01-17_12h05.43.029,00_bat_bachelor,2022.2.4,59.97141726525922,
