loop_instruction.thisRepN;loop_instruction.thisTrialN;loop_instruction.thisN;loop_instruction.thisIndex;loop_rsi_practice.thisRepN;loop_rsi_practice.thisTrialN;loop_rsi_practice.thisN;loop_rsi_practice.thisIndex;loop_practice.thisRepN;loop_practice.thisTrialN;loop_practice.thisN;loop_practice.thisIndex;loop_exp.thisRepN;loop_exp.thisTrialN;loop_exp.thisN;loop_exp.thisIndex;loop_trials.thisRepN;loop_trials.thisTrialN;loop_trials.thisN;loop_trials.thisIndex;map_condition;map_x_key;map_y_key;key_resp_welcome.started;key_resp_welcome.keys;key_resp_welcome.rt;index;text_empty_rsi_practice.started;text_empty_rsi_practice.stopped;rsi;stimulus.started;stimulus;correct;trial_type;key_resp_trial.keys;key_resp_trial.corr;stimulus.stopped;key_resp_trial.rt;key_resp_instruction_rsi.started;key_resp_instruction_rsi.keys;key_resp_instruction_rsi.rt;key_resp_instruction_rsi.stopped;key_resp_instruction_final.started;key_resp_instruction_final.keys;key_resp_instruction_final.rt;key_resp_break.started;key_resp_break.keys;key_resp_break.rt;key_resp_break.stopped;key_resp_end_screen.started;image_end_screen.started;key_resp_end_screen.stopped;image_end_screen.stopped;key_resp_end_screen.keys;participant;session;Alter;Geschlecht (w/m/d/andere);Studiengang;date;expName;psychopyVersion;frameRate
;;;;;;;;;;;;3;0;3;0;71;0;71;0;;;;;;;71;;;0.2;23.871.716.702.198.000;X;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;72;0;72;0;;;;;;;72;;;0.2;2.388.172.659.310.220;Y;l;go;l;1;;0.4059477678965777;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;73;0;73;0;;;;;;;73;;;0.2;23.888.900.238.109.000;X;d;go;d;1;;0.3439754343125969;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;74;0;74;0;;;;;;;74;;;0.2;2.389.540.407.980.440;Y;l;go;l;1;;0.46094846847699955;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;75;0;75;0;;;;;;;75;;;0.2;23.903.074.248.206.600;X;d;go;d;1;;0.44606265745824203;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;76;0;76;0;;;;;;;76;;;0.2;2.391.058.071.729.430;Y;l;go;l;1;;0.3506794309942052;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;77;0;77;0;;;;;;;77;;;0.2;23.917.252.418.302.200;Y;None;nogo;None;1;2.392.526.106.411.590;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;78;0;78;0;;;;;;;78;;;0.2;2.392.726.101.950.970;X;d;go;d;1;;0.3002188494428992;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;79;0;79;0;;;;;;;79;;;0.2;23.933.263.862.659.800;Y;l;go;l;1;;0.4350585416541435;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;80;0;80;0;;;;;;;80;;;0.2;23.940.769.715.990.700;X;d;go;d;1;;0.4047521320753731;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;81;0;81;0;;;;;;;81;;;0.2;23.947.942.100.391.900;Y;l;go;l;1;;0.4544893201091327;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;82;0;82;0;;;;;;;82;;;0.2;2.395.561.389.788.400;X;d;go;d;1;;0.6321474157157354;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;83;0;83;0;;;;;;;83;;;0.2;2.396.495.773.335.390;Y;l;go;l;1;;0.32229932356858626;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;84;0;84;0;;;;;;;84;;;0.2;2.397.129.545.634.140;X;d;go;d;1;;0.4726182810263708;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;85;0;85;0;;;;;;;85;;;0.2;23.979.137.401.630.200;X;None;nogo;None;1;23.987.140.398.962.000;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;86;0;86;0;;;;;;;86;;;0.2;23.989.143.098.597.400;Y;l;go;l;1;;0.30327872675843537;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;87;0;87;0;;;;;;;87;;;0.2;23.995.314.877.423.200;X;d;go;d;1;;0.29461982182692736;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;88;0;88;0;;;;;;;88;;;0.2;24.001.316.338.756.000;Y;l;go;l;1;;0.4778153693769127;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;89;0;89;0;;;;;;;89;;;0.2;24.009.155.016.167.200;Y;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;90;0;90;0;;;;;;;90;;;0.2;2.401.916.424.282.940;X;d;go;d;1;;0.3573630641330965;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;91;0;91;0;;;;;;;91;;;0.2;24.025.838.751.108.300;Y;l;go;l;1;;0.29771945672109723;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;92;0;92;0;;;;;;;92;;;0.2;24.031.839.102.138.700;X;d;go;d;1;;0.4007613461581059;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;93;0;93;0;;;;;;;93;;;0.2;24.039.014.652.599;X;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;94;0;94;0;;;;;;;94;;;0.2;2.404.902.113.986.840;Y;l;go;l;1;;0.2674780167872086;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
