loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,1500.676835594997,j,29.303158405804425,0,1530.0135021129754,1531.0279487144653,1,1531.0279487144653,X,d,go,None,0,,,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1532.4293965746292,1533.4302775477408,1,1533.4302775477408,Y,l,go,l,1,0.5786338985562907,,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1534.7144919834827,1535.7151188950047,1,1535.7151188950047,X,d,go,d,1,0.5650736035349837,,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1536.9828954488075,1537.9837158156224,1,1537.9837158156224,Y,l,go,l,1,0.44021930106464424,,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1539.134535309713,1540.1353130096977,1,1540.1353130096977,Y,None,nogo,None,1,,1540.935927024202,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1541.5361780797211,1542.5371254773345,1,1542.5371254773345,X,d,go,d,1,0.38286101798075833,,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1543.637797867821,1544.638493143244,1,1544.638493143244,Y,l,go,l,1,0.649723628841457,,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1545.989516565398,1546.9903204473012,1,1546.9903204473012,X,d,go,d,1,0.5219873758069298,,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1548.224587537792,1549.2253526316708,1,1549.2253526316708,Y,l,go,None,0,,,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1550.6262894595457,1551.6270724928872,1,1551.6270724928872,Y,None,nogo,None,1,,1552.4277946290204,,,,,,,,,,,,,,,,,82,001,22,w,Psychologie,2023-01-30_15h30.07.706,00_bat_bachelor,2022.2.4,60.07946541335914,
