loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,213.81399366482765,214.81508248400132,1,214.81508248400132,X,l,go,l,1,0.48458364456928393,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,228.07830800618467,228.27863391347637,0.2,228.27863391347637,X,l,go,l,1,0.5169598098509596,216.0306452956156,j,12.0161829902936,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,229.49638790188146,229.69673965529546,0.2,229.69673965529546,Y,d,go,d,1,0.38737596933788154,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,230.79779717194106,230.9977682078752,0.2,230.9977682078752,X,l,go,l,1,0.38155484829803754,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,232.08224195006187,232.28265975467548,0.2,232.28265975467548,Y,d,go,d,1,0.4011999523227132,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,233.40037448159092,233.60057772236541,0.2,233.60057772236541,X,l,go,l,1,0.30724683718835877,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,234.61814241869615,234.81840022350661,0.2,234.81840022350661,Y,d,go,d,1,0.33774731246921874,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,235.86974990389717,236.06951622213455,0.2,236.06951622213455,X,l,go,l,1,0.31015021823077404,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,237.0875014307676,237.28762344087409,0.2,237.28762344087409,Y,d,go,d,1,0.3726420387538383,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,238.37205574721338,238.57218227013436,0.2,238.57218227013436,X,l,go,l,1,0.32780845290835714,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,239.60661668929242,239.80674608400477,0.2,239.80674608400477,X,None,nogo,l,0,0.277218566454394,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,241.1911517647368,241.3914965437998,0.2,241.3914965437998,Y,d,go,d,1,0.4434977464188705,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,242.54273820380877,242.74293611125722,0.2,242.74293611125722,X,l,go,None,0,,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,244.1444207453278,244.3446929090951,0.2,244.3446929090951,Y,d,go,d,1,0.49921665220063005,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,245.545722815521,245.74596421009483,0.2,245.74596421009483,Y,None,nogo,d,0,0.2577810519160266,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,247.11421606455406,247.3140902800933,0.2,247.3140902800933,X,l,go,l,1,0.40144200330723834,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.4780658731488,None,,248.4780658731488,248.4780658731488,space,5.281118459090067,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,1,254.78840231170943,X,l,go,l,1,0.2799336400348693,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,1,,,1,256.1730299408864,Y,d,go,d,1,0.36682707155159733,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,2,,,1,257.6416554153984,X,l,go,l,1,0.4100056850747933,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,3,,,1,259.1596067779192,Y,d,go,d,1,0.34807878693391103,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,4,,,1,260.6109243762985,Y,None,nogo,None,1,,,,,,,,,261.41178164703706,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,5,,,1,262.4127125176874,X,l,go,l,1,0.2782790779710922,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,6,,,1,263.79743901853726,Y,d,go,d,1,0.39028304268322245,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,7,,,1,265.298900555199,Y,None,nogo,d,0,0.5129380712096463,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,8,,,1,266.9170294354517,X,l,go,l,1,0.5593626294576097,,,,,,,,,,,,,,,,59,001,21,w,Psychologie,2023-01-24_12h11.52.021,00_bat_bachelor,2022.2.4,59.966566374147725,
