loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,513.8949353236821,j,5.232104006834561,0,519.1534486528835,520.177244520135,1,520.177244520135,X,d,go,None,0,,,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,521.5835337776807,522.5836404442962,1,522.5836404442962,Y,l,go,l,1,0.3313965647248551,,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,523.6171298825939,524.6166270949761,1,524.6166270949761,X,d,go,d,1,0.3956084123929031,,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,525.7169814705558,526.7167584403651,1,526.7167584403651,X,None,nogo,d,0,0.5022265425068326,,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,528.333841777523,529.333285656583,1,529.333285656583,Y,l,go,None,0,,530.1336396927945,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,530.7337436442613,531.7333979474497,1,531.7333979474497,X,d,go,None,0,,532.5338567108556,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,533.133647935203,534.1340023592638,1,534.1340023592638,X,None,nogo,None,1,,534.9341750622261,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,535.5336147715861,536.53330543841,1,536.53330543841,Y,l,go,l,1,0.4944398796069436,,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,537.7336621897412,538.7336040079535,1,538.7336040079535,X,d,go,d,1,0.5336417999933474,,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,539.9836538261152,540.9835282504209,1,540.9835282504209,X,None,nogo,None,1,,541.7834876201232,,,,,,,,,,,,,,,,38,001,20,w,Psychologie,2023-01-18_08h59.53.384,00_bat_bachelor,2022.2.4,60.066954605784794,
