loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,stimulus.stopped,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,1119.278678223532,j,40.602074578169436,0,1159.9071979256214,1160.9275586825097,1,1160.9275586825097,X,l,go,None,0,,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1162.3397100698812,1163.3404276466827,1,1163.3404276466827,Y,d,go,d,1,0.42635795894545936,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1164.4746174176253,1165.4753621459813,1,1165.4753621459813,X,l,go,l,1,0.35438500577254217,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1166.542815335004,1167.5436211543579,1,1167.5436211543579,Y,d,go,d,1,0.3496950595568933,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1168.594561834514,1169.5952595324989,1,1169.5952595324989,Y,None,nogo,d,0,0.394265791053499,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1171.096409352353,1172.0971511716139,1,1172.0971511716139,X,l,go,l,1,0.45233278460580095,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1173.264718445651,1174.2653904466288,1,1174.2653904466288,Y,d,go,d,1,0.3965125822006712,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1175.365956411088,1176.3671190794462,1,1176.3671190794462,X,l,go,l,1,0.26282511501869976,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1177.3342361225255,1178.3349023053124,1,1178.3349023053124,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1179.7359671311037,1180.736995496236,1,1180.736995496236,Y,d,go,d,1,0.22931912688898137,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,1181.6707641271719,1182.6717861892648,1,1182.6717861892648,X,l,go,l,1,0.4536186046576631,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,1183.8393578269447,1184.8401539493148,1,1184.8401539493148,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,49,001,21,w,Psychologie,2023-01-23_09h05.51.877,00_bat_bachelor,2022.2.4,59.967987951073965,
