loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,1267.572524813324,1267.77253780725,0.2,1267.77253780725,X,l,go,l,1,,0.40577507512352895,1251.6195473359694,j,15.92231591559539,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,1268.8902138714038,1269.0901817744598,0.2,1269.0901817744598,Y,d,go,d,1,,0.46450183453271165,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,1270.2578728446679,1270.4580778384989,0.2,1270.4580778384989,X,l,go,l,1,,0.4726972244970966,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,1271.6422726582823,1271.8423249249317,0.2,1271.8423249249317,Y,d,go,d,1,,0.3848209034767933,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,1272.94312778514,1273.1432552032638,0.2,1273.1432552032638,X,l,go,l,1,,0.38025460265635047,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,1274.2274200109387,1274.427461126077,0.2,1274.427461126077,Y,d,go,d,1,,0.3753125444491161,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,1275.5118106609298,1275.7118944427202,0.2,1275.7118944427202,X,l,go,l,1,,0.30826287998934276,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,1276.7291540707083,1276.929319791845,0.2,1276.929319791845,Y,d,go,d,1,,0.30618772948218975,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,1277.9469425711723,1278.1469036863418,0.2,1278.1469036863418,X,l,go,l,1,,0.3036219125351636,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,1279.1645109505334,1279.3646451565291,0.2,1279.3646451565291,Y,d,go,d,1,,0.2385038835054729,,,,,,,,,,,,,,,,,35 ,001,22,w,Psychologie 100% Bachelor,2023-01-17_14h59.50.571,00_bat_bachelor,2022.2.4,59.991477578276815,
