loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,1352.8290517192509,j,15.842722075787606,0,1368.7001349332568,1369.7141960173612,1,1369.7141960173612,X,l,go,l,1,0.48883909586584195,,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,1370.9153813743615,1371.9160795558419,1,1371.9160795558419,Y,d,go,None,0,,1372.7163846223557,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,1373.3168391190993,1374.317885421624,1,1374.317885421624,X,l,go,l,1,0.6536821674962994,,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,1375.6855730009265,1376.6860680310056,1,1376.6860680310056,Y,d,go,None,0,,1377.4866916428145,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,1378.0873861394357,1379.088077048189,1,1379.088077048189,X,l,go,l,1,0.3645443682617042,,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,1380.1555858639476,1381.1563519241754,1,1381.1563519241754,X,None,nogo,l,0,0.5510567626915872,,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,1382.824077661062,1383.8251947514073,1,1383.8251947514073,Y,d,go,None,0,,,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,1385.2262093448662,1386.2269501929986,1,1386.2269501929986,X,l,go,l,1,0.4245860360970255,,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,1387.3778902410122,1388.3785816346353,1,1388.3785816346353,Y,d,go,d,1,0.6098363705386873,,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,1389.6960054807132,1390.6970832983789,1,1390.6970832983789,X,l,go,l,1,0.2905366465856787,,,,,,,,,,,,,,,,,,39,001,20,w,Psychologie,2023-01-18_10h27.07.238,00_bat_bachelor,2022.2.4,60.01940990441768,
