loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,9,0,9,0,159,0,159,0,,,,,,,159,,,0.2,2752.383196420269,,Y,d,go,d,1,0.2822080145124346,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,160,0,160,0,,,,,,,160,,,0.2,2752.966225955868,,X,l,go,l,1,0.018510687863454223,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,161,0,161,0,,,,,,,161,,,0.2,2753.2997496728785,2754.099814739544,X,None,nogo,None,1,,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,162,0,162,0,,,,,,,162,,,0.2,2754.299867006135,,Y,d,go,d,1,0.26932850561570376,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,163,0,163,0,,,,,,,163,,,0.2,2754.8834114505444,,X,l,go,l,1,0.24697457707952708,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,164,0,164,0,,,,,,,164,,,0.2,2755.4331677900627,,Y,d,go,d,1,0.43162563908845186,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,165,0,165,0,,,,,,,165,,,0.2,2756.1665371314157,2756.9662327436963,Y,None,nogo,None,1,,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,166,0,166,0,,,,,,,166,,,0.2,2757.1664891313994,,X,l,go,l,1,0.2502119088312611,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,167,0,167,0,,,,,,,167,,,0.2,2757.7165266829543,,Y,d,go,d,1,0.19671763165388256,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,168,0,168,0,,,,,,,168,,,0.2,2758.2165099557023,2759.016390779987,Y,None,nogo,None,1,,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,169,0,169,0,,,,,,,169,,,0.2,2759.216523531475,,X,l,go,l,1,0.26495953800622374,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,170,0,170,0,,,,,,,170,,,0.2,2759.78329416574,,Y,d,go,d,1,0.12931257346644998,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,171,0,171,0,,,,,,,171,,,0.2,2760.2162074103253,,X,l,go,l,1,0.44819823699072003,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,172,0,172,0,,,,,,,172,,,0.2,2760.9662506830646,,Y,d,go,d,1,0.3704334262292832,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,173,0,173,0,,,,,,,173,,,0.2,2761.6497873213375,,Y,None,nogo,l,0,0.2317231905180961,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,174,0,174,0,,,,,,,174,,,0.2,2762.182917729486,,X,l,go,l,1,0.22690719284582883,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,175,0,175,0,,,,,,,175,,,0.2,2762.716225107317,,Y,d,go,d,1,0.2682288697687909,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,176,0,176,0,,,,,,,176,,,0.2,2763.299849066767,,X,l,go,l,1,0.48525034030899405,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,177,0,177,0,,,,,,,177,,,0.2,2764.099985891022,2764.8996378668817,X,None,nogo,None,1,,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,178,0,178,0,,,,,,,178,,,0.2,2765.0999490425456,,Y,d,go,d,1,0.22162525611929595,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,179,0,179,0,,,,,,,179,,,0.2,2765.6331230869982,,X,l,go,l,1,0.18364709266461432,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
,,,,,,,,,,,,9,0,9,0,180,0,180,0,,,,,,,180,,,0.2,2766.116457155673,,Y,d,go,d,1,0.3400033804355189,,,,,,,,,,,,,,,73,001,25,w,Psychologie,2023-01-25_13h39.05.967,00_bat_bachelor,2022.2.4,59.92593885879286,
