loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,l,d,8905.803705792408,j,15.5975625757128,0,8921.441189119592,8922.456595657393,1,8922.456595657393,X,l,go,None,0,,,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,8923.867791094817,8924.868507215288,1,8924.868507215288,Y,d,go,None,0,8925.669119675644,,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,8926.269401566591,8927.270342172123,1,8927.270342172123,X,l,go,None,0,,,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,8928.671345613897,8929.672226098366,1,8929.672226098366,Y,d,go,None,0,8930.47272849828,,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,8931.073216934223,8932.074264206458,1,8932.074264206458,X,l,go,None,0,8932.87491642451,,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,8933.475377224386,8934.475956133101,1,8934.475956133101,Y,d,go,d,1,,0.505892317276448,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,8935.71036038315,8936.711155534256,1,8936.711155534256,Y,None,nogo,None,1,8937.511906661093,,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,8938.111999945715,8939.113011339214,1,8939.113011339214,X,l,go,l,1,,0.5411645425483584,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,8940.363749641925,8941.36481194431,1,8941.36481194431,Y,d,go,d,1,,0.6107824482023716,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,8942.681902700104,8943.682669245172,1,8943.682669245172,Y,None,nogo,d,0,,0.4997711079195142,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,8945.300723248161,8946.30131282378,1,8946.30131282378,X,l,go,l,1,,0.5689526502974331,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,8947.58542468585,8948.586313897744,1,8948.586313897744,Y,d,go,d,1,,0.38084219628944993,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,8949.670494705439,8950.671237977687,1,8950.671237977687,X,l,go,l,1,,0.39178716018795967,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,8951.77201611083,8952.772796716541,1,8952.772796716541,Y,d,go,d,1,,0.4334482313133776,,,,,,,,,,,,,,,,,93,001,19,weiblich,psychologie,2023-02-07_09h17.55.805,00_bat_bachelor,2022.2.4,60.050864798040294,
